@relation train

@attribute Document string
@attribute class-rohit {one, five}

@data
"great smug bold full",one
"main full dental upfront unusual last small usual financial unprofessional inappropriate clear new appropriate viable final latest rude uncooperative argumentative",one
"nice other good different happy sloppy disappointed poor slow awful bad overwhelming rich easy important wonderful amazing excellent great less",one
"great unbelievable true italian",five
"horrendous separate due second new blonde lame tough lazy willing",one
"grand excellent full interesting cold different magnificent breathtaking",five
"sad remembered noble blue useless complete single nostalgic super original friendly different various hot scared",five
"beautiful numerous authentic good new upset wrong interesting other concerned careful fortunate local expensive legal least happy high individual such",one
"great friendly",five
"indian several similar seasoned great lovely small cozy tasty",five
"limited new wet old",one
"good clean quick nice",five
"welcome fantastic many wrong incredible delicious last local",five
"extra gorgeous steep awesome great stainless perfect newer particular",five
"unsatisfactory accurate other huge many new few horrible secure rude nice quiet",one
"last yummy easy italian hot full perfect loving tiny super disappointed available special wrong incorrect cold extra rude sorry bad",one
"mediocre good",one
"clean filthy",one
"green classic warm less",five
"good same italian whole soft outstanding typical brown wonderful",five
"apt ridiculous",one
"terrible rude embarrassed",one
"bad last nasty old less accurate good local fanatic",five
"spectacular big small favorite easy",five
"terrible snooty helpful rude",one
"lazy able same wrong funny other dental big good bad nice non existent surprised dirty clean judgmental young ready old older sweet inexperienced unprofessional rusty filthy weird disposable protective nervous new free regular expensive unsure full extra knowledgeable possible such high gritty unbelievable",one
"awesome fabulous great",five
"least dark apologetic personal sick surprised last rude unfriendly bitchy",one
"same white wobbly worried second good least greek cold uninspired bland favorite high other",one
"few non gross happy",one
"cleanest healthy",five
"rude such",one
"big same previous english full",one
"beautiful great fantastic stupid severe gorgeous different regular happy superior able good creative delicious wonderful warm friendly prompt old",five
"horrible unusable gross final sick",one
"old classic high low hot complimentary good local",five
"terrible ready",one
"many delicious awesome fresh authentic excellent",five
"awesome packed great",five
"loyal many rude disturbing fest few due good optical new",one
"same exceptional fussy quiet soft nice excellent expensive awesome",five
"tasty good red same questionable",one
"last 20pm okay good happy soggy bad",one
"located second spacious clean noisy aforementioned nonsmoking minimal frustrated quick many frequent needless nice terrific important",one
"wonderful knowledgable helpful fantastic",five
"great specific individual other abused aware extreme many special sensitive similar same surprised visible regular social free excellent several main western indoor hot large perfect extra remembered obvious various different quicker remote new prepared blonde sorry encouraged final least important cognitive mental pleased integral",five
"slow least overcooked mushy hot cold good old weird iced final free negative worst",one
"awesome happy adult good mad middle other new last sorry dead great",one
"favorite southern fresh skeptical friendly low surprised generous huge amazing super soft chewy delicious few",five
"horrible interested expensive cheap different weird",one
"quick last able remembered incredible special regular good perfect comfortable welcome tiny",five
"wonderful clean friendly lucky same full cute entire least attentive observant less amazing",five
"super least tired expensive small crappy weird few lousy tasteless grotesque cold awful gritty upset",one
"good honest prime great creamy perfect",five
"horrible less other good dead sudden upset true rude final new hung open huge",one
"experienced sharp cheap last crushed huge tired mad less honest such soft",one
"amazing comparable whole guilty fair happy full great local",five
"single red worth",one
"disappointed chinese warm fresh upset rude hungry",one
"happy helpful worried able creative fantastic",five
"tasty baked italian great worth",five
"perfect sweet charming knowledgeable good italian",five
"horrible dark dirty bad authentic good entire",one
"great bad cheap few busy neat clean attentive personal super competitive amazing knowledgable unrealistic",five
"unhappy ready whole quick uncomfortable awesome",one
"seamless last same awesome white whole expensive few firmer old greek frozen excellent good raw easy lemon great worthless strange worse washable simple amazing unpasteurized cheap essential sparkling large arrogant usual trendy such japanese simpler afraid petrified other impressed careful serious safe southern younger chilean argentinian low palatable convenient inconsistent own local durable quicker perky",five
